# time,x,y,z,error
1.662390804874000000e+12,3.127169263526548093e+01,1.717215752583082988e+01,1.360000000000000098e+00,4.661119702595846737e-01
1.662390805444000000e+12,3.136106370918095720e+01,1.799363465598411693e+01,1.360000000000000098e+00,5.400034451822893766e-01
1.662390805994000000e+12,3.118417637426522759e+01,1.910137171642051612e+01,1.360000000000000098e+00,5.685295248432210569e-01
1.662390806534000000e+12,3.115870302567627803e+01,1.823361800872375937e+01,1.360000000000000098e+00,1.249120585490643975e+00
1.662390807084000000e+12,3.104828322768759463e+01,1.883219991017519135e+01,1.360000000000000098e+00,1.358835925433967029e+00
1.662390807654000000e+12,3.109719277382879454e+01,1.952703042440724701e+01,1.360000000000000098e+00,1.419886172606034780e+00
1.662390808214000000e+12,3.100188104776833597e+01,2.018186494459819968e+01,1.360000000000000098e+00,1.485948927007266773e+00
1.662390808784000000e+12,3.075615436554814153e+01,2.068118907388615924e+01,1.360000000000000098e+00,1.705881773611904517e+00
1.662390809364000000e+12,3.043441264020242087e+01,2.199152504573656586e+01,1.360000000000000098e+00,1.007301021525463858e+00
1.662390809964000000e+12,2.915342332913925461e+01,2.123947761122373379e+01,1.360000000000000098e+00,2.501061874321293566e+00
1.662390810514000000e+12,2.867534900234852913e+01,2.144522360626308810e+01,1.360000000000000098e+00,2.459599081267796805e+00
1.662390811114000000e+12,2.810764059379377144e+01,2.149614616370849163e+01,1.360000000000000098e+00,2.538087917517418468e+00
1.662390811644000000e+12,2.602110388522806161e+01,2.224514326657774532e+01,1.360000000000000098e+00,2.615200933933624849e+00
1.662390812234000000e+12,2.531255469920156287e+01,2.226409371027391160e+01,1.360000000000000098e+00,2.556502300754059043e+00
1.662390812764000000e+12,2.464758677437230361e+01,2.229712201697965313e+01,1.360000000000000098e+00,2.481697592170221789e+00
1.662390813314000000e+12,2.402363713654446897e+01,2.229639745606278112e+01,1.360000000000000098e+00,2.437394515258512140e+00
1.662390813854000000e+12,2.338182473047733012e+01,2.232587968161512038e+01,1.360000000000000098e+00,2.330383810544930601e+00
1.662390814404000000e+12,2.271020603572154428e+01,2.229678234941903625e+01,1.360000000000000098e+00,2.299636829790042025e+00
1.662390814944000000e+12,2.203076681607285181e+01,2.231037875781859015e+01,1.360000000000000098e+00,2.205877738386741171e+00
1.662390815484000000e+12,2.062863924758468670e+01,2.240498309397042931e+01,1.360000000000000098e+00,2.587511385072079673e+00
1.662390816034000000e+12,1.995222988541010523e+01,2.236957696645101024e+01,1.360000000000000098e+00,2.536701782606398226e+00
1.662390816584000000e+12,1.923253298980853643e+01,2.235388571972363181e+01,1.360000000000000098e+00,2.525863547490548200e+00
1.662390817124000000e+12,1.855660904278365209e+01,2.237606047938283993e+01,1.360000000000000098e+00,2.421400425613190244e+00
1.662390817684000000e+12,1.760340830209584695e+01,2.259901468934039315e+01,1.360000000000000098e+00,2.440319771488535405e+00
1.662390818224000000e+12,1.690587558206109264e+01,2.262273731344457772e+01,1.360000000000000098e+00,2.373764680016611450e+00
1.662390818794000000e+12,1.623569960300815751e+01,2.259891239721625666e+01,1.360000000000000098e+00,2.307740406155072588e+00
1.662390819344000000e+12,1.549998032085400546e+01,2.198252269086621524e+01,1.360000000000000098e+00,2.670202211885328136e+00
1.662390819914000000e+12,1.470312144592664438e+01,2.180062528592185700e+01,1.360000000000000098e+00,2.848387985164507974e+00
1.662390820444000000e+12,1.407500342687493244e+01,2.182262207418619226e+01,1.360000000000000098e+00,2.737759306124826431e+00
1.662390821024000000e+12,1.352548713824974591e+01,2.181455367193422390e+01,1.360000000000000098e+00,2.648169175452900870e+00
1.662390821584000000e+12,1.359830147272023204e+01,1.955840933335299425e+01,1.360000000000000098e+00,4.355475679228867136e+00
1.662390822144000000e+12,1.331409101044529386e+01,1.894855922400029158e+01,1.360000000000000098e+00,4.576885196159696356e+00
1.662390822724000000e+12,1.308791751881145693e+01,1.837877071038715826e+01,1.360000000000000098e+00,4.548338229219979212e+00
1.662390823294000000e+12,1.297440258265370439e+01,1.770497344847947829e+01,1.360000000000000098e+00,4.509516911949966733e+00
1.662390823864000000e+12,1.375527826314336188e+01,1.702258318455172770e+01,1.360000000000000098e+00,4.478182940330112771e+00
1.662390824434000000e+12,1.376021217665234175e+01,1.632598991182434389e+01,1.360000000000000098e+00,4.415779785152193604e+00
1.662390824984000000e+12,1.365687817302920593e+01,1.558786392883537530e+01,1.360000000000000098e+00,4.419986153770680382e+00
1.662390825564000000e+12,1.364124009800907800e+01,1.462587996434765714e+01,1.360000000000000098e+00,4.618554106756541877e+00
1.662390826084000000e+12,1.360934633709640096e+01,1.393200317855331960e+01,1.360000000000000098e+00,4.625925170210285486e+00
1.662390826664000000e+12,1.363248427975036670e+01,1.325843228796262174e+01,1.360000000000000098e+00,4.551496316028859290e+00
1.662390827204000000e+12,1.369004268430609805e+01,1.259738223647210553e+01,1.360000000000000098e+00,4.497340145665289057e+00
1.662390827794000000e+12,1.467517900827505528e+01,1.225907048609965955e+01,1.360000000000000098e+00,4.270215372168627788e+00
1.662390828344000000e+12,1.474737596332294132e+01,1.163254592195440118e+01,1.360000000000000098e+00,4.196163882357023311e+00
1.662390828914000000e+12,1.511945803473098060e+01,1.118122086200552623e+01,1.360000000000000098e+00,4.041309730428568336e+00
1.662390829474000000e+12,1.720687250468979457e+01,1.142959550488208542e+01,1.360000000000000098e+00,4.382847936219945950e+00
1.662390830124000000e+12,1.775909974593909979e+01,1.117279328939321914e+01,1.360000000000000098e+00,4.140162437158562803e+00
1.662390830634000000e+12,1.835424583071334581e+01,1.093373349135366723e+01,1.360000000000000098e+00,4.119570213970419559e+00
1.662390831224000000e+12,1.902228743624656815e+01,1.082316797829554567e+01,1.360000000000000098e+00,3.972311480283543972e+00
1.662390831754000000e+12,1.993813212778693611e+01,1.110130996186509655e+01,1.360000000000000098e+00,3.924950937427674535e+00
1.662390832294000000e+12,2.062241210189348806e+01,1.099839644858580279e+01,1.360000000000000098e+00,3.864422058821712636e+00
1.662390832834000000e+12,2.130630659553220596e+01,1.089925072358775537e+01,1.360000000000000098e+00,3.857605071973849498e+00
1.662390833404000000e+12,2.196823806615789820e+01,1.082981495826509466e+01,1.360000000000000098e+00,3.716891495473652274e+00
1.662390833924000000e+12,2.284998030548399583e+01,1.075073971969177400e+01,1.360000000000000098e+00,3.870363958921289704e+00
1.662390834474000000e+12,2.350921753881443621e+01,1.071092887422682871e+01,1.360000000000000098e+00,3.711931575740497369e+00
1.662390835024000000e+12,2.411117155047725191e+01,1.065084774993646555e+01,1.360000000000000098e+00,3.604762632795567079e+00
1.662390835544000000e+12,2.544056053449554966e+01,1.119758985195223211e+01,1.360000000000000098e+00,3.793992612814381271e+00
1.662390836134000000e+12,2.608711202289124387e+01,1.115886037359914873e+01,1.360000000000000098e+00,3.666927702233650166e+00
1.662390836704000000e+12,2.673996368530695023e+01,1.125218062701448041e+01,1.360000000000000098e+00,3.561838314498227742e+00
1.662390837254000000e+12,2.743828949250491789e+01,1.124982097173903561e+01,1.360000000000000098e+00,3.635734597683891955e+00
1.662390837814000000e+12,2.831265560517325497e+01,1.140136116054459414e+01,1.360000000000000098e+00,3.678982078777305098e+00
1.662390838334000000e+12,2.901839437367108943e+01,1.134673517350208449e+01,1.360000000000000098e+00,3.761469493059625080e+00
1.662390838894000000e+12,2.977340746754433809e+01,1.120629631878613885e+01,1.360000000000000098e+00,3.826643270134121089e+00
1.662390839434000000e+12,3.042651965063813435e+01,1.122083506461838809e+01,1.360000000000000098e+00,3.839980651751804253e+00
1.662390840014000000e+12,3.119062455999567973e+01,1.195379766890546414e+01,1.360000000000000098e+00,3.508745109872569934e+00
1.662390840544000000e+12,3.177544354487448430e+01,1.194345940278881102e+01,1.360000000000000098e+00,3.464628532669454586e+00
1.662390841104000000e+12,3.219679018505550516e+01,1.219515007073839108e+01,1.360000000000000098e+00,3.118731135831830592e+00
1.662390841644000000e+12,3.174969953773573650e+01,1.450900708078225243e+01,1.360000000000000098e+00,1.926128894938211600e+00
1.662390842264000000e+12,3.202051487108227690e+01,1.512999463761064511e+01,1.360000000000000098e+00,1.731212641415585507e+00
1.662390842784000000e+12,3.220196893282977157e+01,1.571209078981454255e+01,1.360000000000000098e+00,1.703569098497002443e+00
1.662390843394000000e+12,3.226628801418002723e+01,1.634077253444256073e+01,1.360000000000000098e+00,1.573226938375255068e+00
1.662390843924000000e+12,3.070599906737239593e+01,1.686795655744593603e+01,1.360000000000000098e+00,3.349332818135321022e-01
1.662390844504000000e+12,3.083103524630815429e+01,1.748953967342542271e+01,1.360000000000000098e+00,1.761180896362088411e-01
1.662390845024000000e+12,3.071472266320251521e+01,1.813633717439293491e+01,1.360000000000000098e+00,1.950133405222623795e-01
1.662390845604000000e+12,2.868444911454854207e+01,1.717532036257547645e+01,1.360000000000000098e+00,2.222012429973490022e+00
1.662390846194000000e+12,2.817964598590425496e+01,1.742731049284053313e+01,1.360000000000000098e+00,2.208630544056362499e+00
1.662390846834000000e+12,2.754954558946102239e+01,1.899593257637890176e+01,1.360000000000000098e+00,1.637244447290451488e+00
1.662390847404000000e+12,2.697675524733317687e+01,1.910274763145140753e+01,1.360000000000000098e+00,1.516165166452326796e+00
1.662390847984000000e+12,2.545885891555389691e+01,1.853541387024547049e+01,1.360000000000000098e+00,2.316114561511542380e+00
1.662390848524000000e+12,2.478077889340916684e+01,1.876040863948344750e+01,1.360000000000000098e+00,2.260039976422360208e+00
1.662390849074000000e+12,2.411519145363409677e+01,1.888877941946080341e+01,1.360000000000000098e+00,2.160815837088911895e+00
1.662390849624000000e+12,2.320974743865995293e+01,1.872801212065873599e+01,1.360000000000000098e+00,2.329316430891109846e+00
1.662390850164000000e+12,2.255004667466851842e+01,1.881629423977397408e+01,1.360000000000000098e+00,2.218852429961215122e+00
1.662390850704000000e+12,2.192590537533274286e+01,1.896354589921254430e+01,1.360000000000000098e+00,2.093230171667932016e+00
1.662390851254000000e+12,2.131718329365900289e+01,1.908298246630668160e+01,1.360000000000000098e+00,1.946380793396079056e+00
1.662390851804000000e+12,2.044065342663272133e+01,1.872072067134314111e+01,1.360000000000000098e+00,2.105843530008178366e+00
1.662390852384000000e+12,1.982313863838500012e+01,1.884903260661489810e+01,1.360000000000000098e+00,1.946098172416838024e+00
1.662390852914000000e+12,1.923105344918427306e+01,1.898102257739552456e+01,1.360000000000000098e+00,1.836096031748906121e+00
1.662390853504000000e+12,1.864510803666806993e+01,1.906124651469993125e+01,1.360000000000000098e+00,1.635917027100532550e+00
1.662390854064000000e+12,1.797161702109689685e+01,1.867403850849027336e+01,1.360000000000000098e+00,1.592946773278844486e+00
1.662390854624000000e+12,1.725534568673602820e+01,1.886534737352649671e+01,1.360000000000000098e+00,1.561142487377386034e+00
1.662390855154000000e+12,1.659190164468311934e+01,1.908517921922199534e+01,1.360000000000000098e+00,1.545390684976162499e+00
1.662390855714000000e+12,1.523556473584267046e+01,1.488891588413039813e+01,1.360000000000000098e+00,4.652649247510041164e+00
1.662390856284000000e+12,1.452329069157600117e+01,1.881282965309569377e+01,1.360000000000000098e+00,2.137219408864341919e+00
1.662390856884000000e+12,1.387517622373751180e+01,1.894923502975811047e+01,1.360000000000000098e+00,2.011912496066556422e+00
1.662390857454000000e+12,1.331847376517016635e+01,1.895404000593500982e+01,1.360000000000000098e+00,1.923778445650139446e+00
1.662390858064000000e+12,1.451882082549146880e+01,1.301845657942501511e+01,1.360000000000000098e+00,5.599442163382979842e+00
1.662390858614000000e+12,1.430067896368572988e+01,1.249715226320999939e+01,1.360000000000000098e+00,5.626448024037661533e+00
1.662390859234000000e+12,1.416428775334588863e+01,1.192722528532262061e+01,1.360000000000000098e+00,5.522901471720656374e+00
1.662390859754000000e+12,1.552817575357283708e+01,9.946881435699099328e+00,1.360000000000000098e+00,7.049570420287378347e+00
1.662390860384000000e+12,1.498204725537740245e+01,9.681138282067061951e+00,1.360000000000000098e+00,6.438902224668853869e+00
1.662390860914000000e+12,1.432247445190031243e+01,1.282586090246548771e+01,1.360000000000000098e+00,2.575944572708326774e+00
1.662390861524000000e+12,1.444952988653999348e+01,1.215453548492319058e+01,1.360000000000000098e+00,2.499966913217299691e+00
1.662390862034000000e+12,1.663949797287139631e+01,1.290610267939243805e+01,1.360000000000000098e+00,2.552026114360915532e+00
1.662390862664000000e+12,1.713965484706662679e+01,1.262837975767636856e+01,1.360000000000000098e+00,2.379341364020507665e+00
1.662390863214000000e+12,1.764318544298617297e+01,1.233160570693447333e+01,1.360000000000000098e+00,2.282288446730124321e+00
1.662390863754000000e+12,1.938672675920877708e+01,1.250791176735425658e+01,1.360000000000000098e+00,3.126355159615817669e+00
1.662390864324000000e+12,1.994797802189459190e+01,1.221584169811979947e+01,1.360000000000000098e+00,2.985847887558980673e+00
1.662390864854000000e+12,2.061956330498291123e+01,1.204074277139406490e+01,1.360000000000000098e+00,2.941180495134974038e+00
1.662390865404000000e+12,2.121070714043941052e+01,1.176475872962595659e+01,1.360000000000000098e+00,2.904864935966751105e+00
1.662390865944000000e+12,2.224368227195392222e+01,1.256141355110230506e+01,1.360000000000000098e+00,2.903449377482729687e+00
1.662390866484000000e+12,2.291753945216310839e+01,1.228797172974326379e+01,1.360000000000000098e+00,2.886017090500580196e+00
1.662390867034000000e+12,2.353296814161409145e+01,1.205302805228324381e+01,1.360000000000000098e+00,2.823331275769663140e+00
1.662390867574000000e+12,2.414917523256129783e+01,1.179063181503446422e+01,1.360000000000000098e+00,2.826929758966359341e+00
1.662390868164000000e+12,2.474917055755931727e+01,1.244246107977186711e+01,1.360000000000000098e+00,2.436216840342417367e+00
1.662390868774000000e+12,2.535409448800097110e+01,1.222556102545751600e+01,1.360000000000000098e+00,2.309787866938910916e+00
1.662390869344000000e+12,2.597711914401720179e+01,1.205835829181047814e+01,1.360000000000000098e+00,2.242947809122498359e+00
1.662390869884000000e+12,2.757311711478725869e+01,1.248334909598871434e+01,1.360000000000000098e+00,3.039695571662273554e+00
1.662390870424000000e+12,2.821578422749975346e+01,1.226669073073698613e+01,1.360000000000000098e+00,2.958755384012040857e+00
1.662390870954000000e+12,2.879635027125677027e+01,1.206792810175311637e+01,1.360000000000000098e+00,2.889188396959839533e+00
1.662390871524000000e+12,2.946578560295267479e+01,1.183435698821222282e+01,1.360000000000000098e+00,2.857847508821852234e+00
1.662390872074000000e+12,3.044788827359153416e+01,1.302245762519467931e+01,1.360000000000000098e+00,2.920425731937478009e+00
