,time,x_5g,y_5g,z_5g,x_5g2,y_5g2,z_5g2,x_pos_qsys1,y_pos_qsys1,z_pos_qsys1,x_rot_qsys1,y_rot_qsys1,z_rot_qsys1,x_pos_qsys2,y_pos_qsys2,z_pos_qsys2,x_rot_qsys2,y_rot_qsys2,z_rot_qsys2,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,attitude_x,attitude_y,attitude_z,attitude_w,bar0_z,gps_x,gps_y,gps_z,total_error1,x_error1,y_error1,z_error1,total_error2,x_error2,y_error2,z_error2
22,1655820512314.0,28.1396765111851,17.7385262440838,1.0,28.1396765111851,17.7385262440838,1.0,29.08234766,18.8070625,1.74295947,8.934,-19.422,-165.815,28.90845703,18.84995312,1.20671533,-4.794,27.385,-170.83,0.018727,0.041172,0.021171,-0.570711,4.980284,8.425387,1.5,-64.0,-23.8125,0.037991,-0.256309,-0.965565,0.023379,973.51709,,,,1.4249205679670052,0.9426711488148989,1.0685362559162002,0.74295947,1.3514041536927976,0.7687805188149,1.111426875916198,0.20671532999999997
23,1655820512324.0,28.1541843198399,17.7378016575771,1.0,28.1541843198399,17.7378016575771,1.0,29.08279492,18.80671484,1.74267334,9.224,-19.34,-165.649,28.90695703,18.84671289,1.20340393,-3.009,28.927,-172.819,0.03731963636363636,0.019103545454545453,0.007187545454545453,-0.5576517999999999,4.9583691000000005,8.5030506,1.0625,-63.5625,-23.8125,0.038292,-0.25646,-0.965508,0.023582,973.525391,,,,1.4159424558530467,0.928610600160102,1.0689131824229001,0.7426733400000001,1.3402801477883102,0.7527727101601016,1.1089112324228978,0.2034039299999999
24,1655820512334.0,28.1491050630163,17.7394649682108,1.0,28.1491050630163,17.7394649682108,1.0,29.08242383,18.80800781,1.74176526,8.925,-19.493,-165.447,28.90700781,18.84949023,1.20395386,-5.538,28.211,-170.246,0.047944,0.006493,-0.000803,-0.552055,4.948977,8.536335,1.0625,-63.5625,-23.8125,0.038593,-0.256611,-0.965451,0.023785,973.525391,,,,1.4187556962151413,0.9333187669836995,1.0685428417891991,0.74176526,1.3440880386699454,0.7579027469836994,1.1100252617892004,0.20395385999999993
25,1655820512344.0,28.1636374595158,17.7392245346082,1.0,28.1636374595158,17.7392245346082,1.0,29.08224219,18.80803516,1.74155713,8.957,-19.426,-165.513,28.90833984,18.85156055,1.20568909,-7.112,27.513,-169.108,0.047944,0.006493,-0.000803,-0.552055,4.948977,8.536335,1.0625,-63.5625,-23.8125,0.038593,-0.256611,-0.965451,0.023785,973.525391,,,,1.4093228174617596,0.9186047304841978,1.068810625391798,0.7415571299999999,1.3386086233983903,0.744702380484199,1.1123360153917972,0.2056890899999999
26,1655820512354.0,28.1775963628626,17.7390544841822,1.0,28.1775963628626,17.7390544841822,1.0,29.08205859,18.80810547,1.74160352,8.841,-19.558,-165.543,28.9080918,18.851375,1.20553223,-5.175,27.739,-170.156,0.0376465,-0.0003575000000000002,-0.012522999999999998,-0.5667994,4.9441278,8.481062999999999,1.00625,-63.5625,-23.7,0.0386758,-0.2569526,-0.9653569999999999,0.023774200000000002,973.525391,,,,1.4003292222175292,0.9044622271373974,1.0690509858177997,0.74160352,1.3307443456906876,0.7304954371373995,1.1123205158177996,0.20553222999999998
27,1655820512364.0,28.1909659243476,17.7395089705926,1.0,28.1909659243476,17.7395089705926,1.0,29.08191406,18.80811914,1.74153455,8.962,-19.589,-165.506,28.90798242,18.85090234,1.20583972,-4.886,27.678,-170.373,0.027349,-0.007208,-0.024243,-0.576629,4.940895,8.444215,1.0,-63.5625,-23.6875,0.0388,-0.257465,-0.965216,0.023758,973.525391,,,,1.391300210085298,0.8909481356523976,1.0686101694073997,0.7415345499999999,1.322614031605738,0.7170164956523983,1.111393369407402,0.20583971999999995
28,1655820512374.0,28.1853687500083,17.7423334929659,1.0,28.1853687500083,17.7423334929659,1.0,29.0820918,18.80725195,1.74159082,9.081,-19.602,-165.634,28.90805859,18.85148437,1.20565491,-5.194,27.707,-170.147,0.027349,-0.007208,-0.024243,-0.576629,4.940895,8.444215,1.0,-63.5625,-23.6875,0.0388,-0.257465,-0.965216,0.023758,973.525391,,,,1.3921794239674368,0.8967230499916994,1.0649184570341,0.7415908200000001,1.3238188217625324,0.7226898399916983,1.1091508770341,0.20565491000000002
29,1655820512384.0,28.1984085923031,17.7433245194853,1.0,28.1984085923031,17.7433245194853,1.0,29.08166797,18.8064082,1.74229614,10.384,-19.381,-164.901,28.9079707,18.85151758,1.20588806,-5.206,27.657,-170.093,0.013807181818181816,0.003858818181818183,-0.025472545454545456,-0.5384349090909091,4.925959545454545,8.456747727272727,1.0,-63.5625,-23.6875,0.03882109090909091,-0.2576006363636364,-0.9651825454545454,0.023610000000000003,973.525391,,,,1.3821338719770244,0.883259377696902,1.0630836805147013,0.7422961400000001,1.3158914256321481,0.7095621076969003,1.1081930605147008,0.20588805999999993
30,1655820512394.0,28.1825797848519,17.7291503040706,1.0,28.1825797848519,17.7291503040706,1.0,29.08191602,18.80716211,1.74219092,10.868,-19.638,-164.107,28.90839844,18.85043555,1.20710168,-4.933,27.284,-170.76,-0.002443,0.017139,-0.026948,-0.492602,4.908037,8.471787,0.6420454545454546,-63.86931818181818,-23.380681818181817,0.038858,-0.257838,-0.965124,0.023351,973.5109374,,,,1.4038928440495477,0.8993362351481018,1.0780118059293997,0.7421909200000001,1.3356995631128845,0.7258186551480996,1.1212852459293998,0.20710168000000007
31,1655820512404.0,28.1671889672552,17.715426222863,1.0,28.1671889672552,17.715426222863,1.0,29.08161328,18.80802539,1.74142163,8.754,-19.673,-165.827,28.90700586,18.84767773,1.20355676,-3.306,28.916,-172.544,-0.002443,0.017139,-0.026948,-0.492602,4.908037,8.471787,0.5625,-63.9375,-23.3125,0.038858,-0.257838,-0.965124,0.023351,973.507324,,,,1.4247613006280255,0.9144243127447993,1.0925991671369992,0.74142163,1.3525244952327407,0.7398168927448019,1.1322515071369992,0.2035567599999999
32,1655820512414.0,28.1522381961117,17.7019569141231,1.0,28.1522381961117,17.7019569141231,1.0,29.08138672,18.80833203,1.74135986,9.012,-19.646,-165.513,28.90760547,18.8512207,1.2054021,-5.583,27.82,-169.957,-0.0060978,0.023125600000000003,-0.0287386,-0.5124758,4.9089046000000005,8.444307400000001,0.5625,-63.9375,-23.3125,0.038928199999999996,-0.2578228,-0.9651268,0.0232854,973.507324,,,,1.4447777948443932,0.9291485238883013,1.1063751158768973,0.74135986,1.3752770513571224,0.7553672738883002,1.1492637858768973,0.20540209999999992
33,1655820512424.0,28.1374307574298,17.6891575196753,1.0,28.1374307574298,17.6891575196753,1.0,29.0813418,18.80825781,1.74128687,9.035,-19.649,-165.51,28.90852734,18.85267383,1.20615125,-6.606,27.579,-169.201,-0.020717,0.047072,-0.035901,-0.591971,4.912375,8.334389,1.0,-64.2,-23.225,0.039209,-0.257762,-0.965138,0.023023,973.507324,,,,1.4640196433418462,0.9439110425701998,1.119100290324699,0.7412868699999999,1.395836718260069,0.7710965825701983,1.1635163103246988,0.20615125
34,1655820512434.0,28.1534550487939,17.6939378985729,1.0,28.1534550487939,17.6939378985729,1.0,29.08128516,18.80832812,1.74120007,8.944,-19.686,-165.575,28.90766797,18.85124805,1.2051217,-4.846,28.105,-170.415,-0.020717,0.047072,-0.035901,-0.591971,4.912375,8.334389,1.1875,-64.3125,-23.1875,0.039209,-0.257762,-0.965138,0.023023,973.507324,,,,1.4500807842575725,0.9278301112060987,1.1143902214270973,0.7412000700000001,1.3813775432916395,0.7542129212060971,1.1573101514270974,0.20512170000000007
35,1655820512444.0,28.1685203053031,17.6986924204023,1.0,28.1685203053031,17.6986924204023,1.0,29.08123242,18.80832031,1.74126123,8.908,-19.696,-165.657,28.90776953,18.85148828,1.20535425,-4.86,28.055,-170.351,-0.020717,0.047072,-0.035901,-0.6058076,4.9199062,8.378946,1.1875,-64.3125,-23.1875,0.03934972727272727,-0.2577003636363636,-0.9651501818181819,0.022959181818181816,973.507324,,,,1.436773279848818,0.9127121146968982,1.1096278895977,0.7412612300000001,1.3694625625115027,0.7392492246968985,1.1527958595977026,0.20535425000000007
36,1655820512454.0,28.1833991278243,17.703734377534,1.0,28.1833991278243,17.703734377534,1.0,29.08116797,18.80822266,1.74130066,9.092,-19.647,-165.484,28.90791992,18.85162695,1.20569556,-4.964,27.979,-170.29,-0.01875590909090909,0.04201054545454545,-0.034269909090909094,-0.661154,4.950031,8.557174,1.1875,-64.4875,-23.1,0.039983,-0.257423,-0.965205,0.022672,973.4967288,,,,1.423335259201495,0.8977688421757009,1.1044882824659972,0.7413006600000001,1.3574195137161968,0.7245207921757029,1.1478925724659987,0.2056955600000001
37,1655820512464.0,28.1974294018002,17.7089701306606,1.0,28.1974294018002,17.7089701306606,1.0,29.08110938,18.80815234,1.74110486,9.186,-19.544,-165.441,28.9080918,18.85200977,1.20625891,-5.247,27.755,-170.074,-0.009931,0.019234,-0.02693,-0.661154,4.950031,8.557174,1.1875,-64.5625,-23.0625,0.039983,-0.257423,-0.965205,0.022672,973.492188,,,,1.410351670045257,0.883679978199801,1.0991822093394,0.7411048600000001,1.3459497246614514,0.7106623981998013,1.1430396393393991,0.20625891000000007
38,1655820512474.0,28.210976095608,17.7139483840591,1.0,28.210976095608,17.7139483840591,1.0,29.08106836,18.80801758,1.74117383,9.531,-19.554,-165.17,28.90789648,18.85213672,1.20560828,-5.263,27.997,-170.045,-0.009931,0.019234,-0.02693,-0.661154,4.950031,8.557174,1.1875,-64.5625,-23.0625,0.039983,-0.257423,-0.965205,0.022672,973.492188,,,,1.3978726530201402,0.8700922643919995,1.0940691959409001,0.7411738299999999,1.3346050765125272,0.6969203843920013,1.1381883359408995,0.2056082800000001
39,1655820512484.0,28.1963546619051,17.7033730841227,1.0,28.1963546619051,17.7033730841227,1.0,29.0807168,18.80764453,1.74175342,9.415,-19.646,-165.478,28.90785742,18.85214453,1.20555701,-5.283,28.011,-170.041,-0.007782636363636365,0.018499363636363637,-0.02623663636363636,-0.6623176000000001,4.9481731,8.5498354,1.2625,-64.375,-22.8,0.040032899999999996,-0.2574015,-0.9652096,0.0226316,973.492188,,,,1.414747969595903,0.8843621380949003,1.104271445877302,0.74175342,1.3512631163617517,0.7115027580948983,1.1487714458773013,0.20555700999999993
