X,Y,Z,X_std,Y_std,Z_std
566594.462613588,5932848.852438621,3.2300094930409253,5.2474688439558745,3.1446458281038194,0
566595.1135020403,5932848.891662663,3.4653161850261407,5.272356144345926,3.1355644241064096,0
566595.6885783384,5932849.091922665,3.794327342354929,5.239751752127451,3.137895436700077,0
566596.8985731901,5932849.175973454,4.033082644281522,1.1186454823542893,1.71795103033326,0
566597.4791975542,5932849.359723036,4.149399374266093,1.0918975626864171,1.9067373112990527,0
566598.2042046231,5932849.4505430395,4.264319537104054,1.1393498347472084,1.905619082057755,0
566598.8331910183,5932849.490150427,4.355671260435037,1.1541451808784953,1.9279454992356915,0
566599.3556574787,5932849.510293984,4.589153323783863,1.1106449655421136,1.9904251828757515,0
566600.1229220671,5932849.54913009,4.460139220576164,1.2120311381494646,2.012124235269504,0
566602.782212,5932849.5504337,4.675770758632654,2.714713742483054,2.0188726104182204,0
566603.4371452245,5932849.525051485,4.856401643735682,2.7453270775741445,2.1106724025172867,0
566604.0767665281,5932849.58188112,5.093217837578689,2.7820430715789786,2.2091295280508896,0
566604.7397566716,5932849.585995806,5.14788487549855,2.819285522206444,2.320470459156189,0
566605.411948561,5932849.581327172,5.296964524158764,2.858717902994196,2.4412383761520027,0
566606.063821203,5932849.558163581,5.589505032578612,2.8996760657316316,2.565160124592546,0
566606.6972353009,5932849.603900029,5.587461680542889,2.945581685162187,2.6904062525753685,0
566607.3418300026,5932849.60859648,5.893897735259038,2.992140313498612,2.8228081882381404,0
566608.0143195447,5932849.7156542465,6.070007612636484,3.0446195174298163,2.9643272266185203,0
566608.6365958782,5932849.901730914,6.255935919395811,3.1009712865466432,3.098595494291968,0
566609.1782369046,5932850.220504157,6.348272378606477,3.1610321073031216,3.2177451392153023,0
566609.6645196584,5932850.600277153,6.497199038483687,3.2150286022077883,3.2547718798173557,0
566610.0313354207,5932851.039140382,6.542307149855585,3.2801219201724936,3.221800444963513,0
566610.2841164848,5932851.567840991,6.362820736020416,3.3363416610560006,3.2157556520217607,0
566610.4521451434,5932852.112712685,6.321340752913658,3.43561952146153,3.1666919087780947,0
566610.5932836221,5932852.7377354195,6.415522433911128,3.4967232671457147,3.186268207629284,0
566610.6406578282,5932853.313725727,6.298156957593758,3.5755479403459525,3.1541091873939093,0
566610.6410053847,5932853.869499142,6.344700858384865,3.6426807247281263,3.1316965650271396,0
566610.6384478757,5932854.177497093,6.367193284236186,3.71456708195525,2.897835838484904,0
566610.2760923144,5932854.733929662,6.363758921236569,3.7906069869162327,2.80430763998374,0
566609.87938057,5932855.155311371,6.500048177710811,3.7773016198517966,2.7046573330544827,0
566609.4516066778,5932855.3270818265,6.465625451867014,3.860285996829161,2.593393899212025,0
566608.8564678588,5932855.536360165,6.3205017816370885,3.8473588295555876,2.48842383031049,0
566608.1834590273,5932855.688084875,6.4349636501194585,3.81868125956722,2.391925084036513,0
566607.600384148,5932855.75703502,6.256160528323891,3.7935483374159014,2.2980262583025124,0
566606.9593506365,5932855.826994458,6.298211789824248,3.7552689936525607,2.2187691968716123,0
566606.3644814717,5932855.8420130275,6.341105231236902,3.719732513813454,2.154980989796743,0
566605.754361881,5932855.854226411,6.307758988898463,3.685832980537347,2.097731741436626,0
566605.1653399382,5932855.836610428,6.298519092220874,3.6443336816526277,2.0307075669398573,0
566604.5098099313,5932855.83656081,6.263469747302819,3.6048837791433903,1.9815900660297339,0
